country,No. Winter Games,Gold,Silver,Bronze,Total,population,Weighted medals,Weighted medals per million people,Total medals per million people,Gold per million people,Silver per million people,Bronze per million people
Norway,23,132,125,111,368,5005700,889,177.59753880576145,73.51619154164253,26.369938270371776,24.971532453003576,22.174720818267176
United States,23,105,110,90,305,313382000,730,2.329425429667307,0.9732530904774365,0.3350543426233798,0.3510093113197312,0.2871894365343255
Germany,12,92,88,60,240,81831000,604,7.381065855238235,2.932873849763537,1.1242683090760226,1.0753870782466302,0.7332184624408843
Soviet Union,9,78,57,59,194,272000000,485,1.7830882352941178,0.7132352941176471,0.2867647058823529,0.20955882352941177,0.21691176470588236
Canada,23,73,64,62,199,34771400,482,13.861967018871832,5.723094267127582,2.0994265402025802,1.8405931311365087,1.7830745957884928
Austria,23,64,81,87,232,8452835,505,59.743269565772906,27.446412949028343,7.571424261800923,9.582583831341793,10.292404855885628
Sweden,23,57,46,55,158,9490683,375,39.512435511754,16.647906162285686,6.005890197786608,4.846858756108491,5.795157208390587
Switzerland,23,55,46,52,153,7870100,364,46.251000622609624,19.44066784411888,6.988475368800905,5.84490667208803,6.607285803229947
Russia,6,47,38,35,120,143056383,299,2.0900849981646745,0.8388300995978627,0.3285417890091629,0.2656295315393232,0.24465877904937663
Netherlands,21,45,44,41,130,16731770,309,18.46786084197906,7.769650192418375,2.6894942973755915,2.6297277574339115,2.4504281376088723
Finland,23,43,63,61,167,5407040,359,66.39492217553412,30.885660176362666,7.952595135231106,11.651476593478133,11.28158844765343
Italy,23,40,36,48,124,60776531,280,4.607041491065029,2.0402612317573703,0.6581487844378614,0.5923339059940752,0.7897785413254337
East Germany,6,39,36,35,110,16111000,263,16.324250512072496,6.827633294022718,2.4207063496989636,2.2344981689528893,2.1724287753708644
France,23,36,35,53,124,65350000,267,4.0856924254016835,1.8974751338944147,0.5508798775822494,0.5355776587605203,0.811017597551645
South Korea,18,31,25,14,70,48580000,188,3.869905310827501,1.440922190201729,0.6381226842321943,0.514615067929189,0.2881844380403458
Japan,21,14,22,22,58,127650000,122,0.9557383470426949,0.45436741088915,0.10967489228358794,0.17234625930278105,0.17234625930278105
China,11,13,28,21,62,1347350000,129,0.09574349649311611,0.04601625412847441,0.009648569414034958,0.020781534122536832,0.015586150591902624
West Germany,6,11,15,13,39,72562666,87,1.1989636654199007,0.5374664707054727,0.1515931071220564,0.20671787334825872,0.17915549023515756
Great Britain,23,11,4,16,31,62262000,68,1.0921589412482735,0.497895987922007,0.17667276990780895,0.06424464360283962,0.25697857441135846
Czech Republic,7,9,11,11,31,10610947,69,6.502718371885186,2.921511152586098,0.8481806572024155,1.0366652476918412,1.0366652476918412
Belarus,7,8,5,5,18,9461400,47,4.967552370685099,1.9024668653687615,0.8455408290527829,0.5284630181579894,0.5284630181579894
Poland,23,7,7,8,22,38501000,50,1.2986675670761798,0.5714137295135191,0.18181345939066518,0.18181345939066518,0.20778681073218877
Australia,19,5,5,5,15,22880619,35,1.5296788954879237,0.6555766694948244,0.21852555649827482,0.21852555649827482,0.21852555649827482
Croatia,8,4,6,1,11,4290612,29,6.758942547123813,2.5637368282193775,0.9322679375343191,1.3984019063014788,0.23306698438357978
Estonia,10,4,2,1,7,1318005,21,15.93317172544869,5.31105724181623,3.034889852466417,1.5174449262332086,0.7587224631166043
Slovakia,7,3,4,1,8,5445324,21,3.8565198324287038,1.469150412353792,0.550931404632672,0.734575206176896,0.183643801544224
Ukraine,7,3,1,4,8,45644419,18,0.3943527027915505,0.17526786790735577,0.06572545046525842,0.02190848348841947,0.08763393395367788
Czechoslovakia,16,2,8,15,25,15000000,39,2.6,1.6666666666666667,0.13333333333333333,0.5333333333333333,1.0
Slovenia,8,2,5,10,17,2057540,28,13.608483917688114,8.262293807167783,0.9720345655491509,2.4300864138728775,4.860172827745755
Liechtenstein,19,2,2,6,10,36476,18,493.4751617501919,274.15286763899553,54.8305735277991,54.8305735277991,164.4917205833973
Kazakhstan,7,1,3,4,8,16718000,14,0.8374207441081469,0.47852613949036965,0.059815767436296206,0.1794473023088886,0.23926306974518483
Hungary,23,1,2,4,7,9962000,12,1.2045773940975708,0.7026701465569163,0.1003814495081309,0.2007628990162618,0.4015257980325236
Belgium,21,1,2,3,6,10951266,11,1.0044500791050095,0.5478818613300052,0.09131364355500085,0.1826272871100017,0.2739409306650026
Bulgaria,20,1,2,3,6,7364570,11,1.4936377819750508,0.8147115174409368,0.1357852529068228,0.2715705058136456,0.4073557587204684
Spain,20,1,0,3,4,46196278,7,0.15152735897900693,0.08658706227371825,0.021646765568429562,0.0,0.06494029670528868
Uzbekistan,7,1,0,0,1,29123400,4,0.13734660101499138,0.034336650253747845,0.034336650253747845,0.0,0.0
Latvia,11,0,4,4,8,2070371,12,5.796062638048929,3.8640417586992863,0.0,1.9320208793496432,1.9320208793496432
Yugoslavia,16,0,3,1,4,10348473,7,0.6764283000979951,0.38653045719885437,0.0,0.2898978428991408,0.09663261429971359
Luxembourg,9,0,2,0,2,511800,4,7.815552950371239,3.9077764751856194,0.0,3.9077764751856194,0.0
New Zealand,16,0,1,2,3,4432620,4,0.9024008374279772,0.6768006280709828,0.0,0.2256002093569943,0.4512004187139886
North Korea,9,0,1,1,2,24052231,3,0.12472855428671045,0.08315236952447363,0.0,0.04157618476223682,0.04157618476223682
Denmark,14,0,1,0,1,5580516,2,0.35838979764595247,0.17919489882297623,0.0,0.17919489882297623,0.0
Romania,21,0,0,1,1,19042936,1,0.05251291082425525,0.05251291082425525,0.0,0.0,0.05251291082425525
